SOC 2010 (unit groups),Occupation,2015 (%),2016 (%),2017 (%),2018 (%),2019 (%)
1115,Chief executives and senior officials,0.52,0.35,0.31,0.33,0.33
1116,Elected officers and representatives,0.0,0.0,0.0,0.0,0.0
1121,Production managers and directors in manufacturing,0.25,0.27,0.24,0.23,0.23
1122,Production managers and directors in construction,0.28,0.28,0.13,0.05,0.07
1123,Production managers and directors in mining and energy,0.06,0.08,0.05,0.0,0.0
1131,Financial managers and directors,0.68,0.71,0.77,0.86,0.8
1132,Marketing and sales directors,4.58,4.18,3.66,3.24,2.65
1134,Advertising and public relations directors,0.41,0.42,0.39,0.38,0.36
1135,Human resource managers and directors,1.13,1.06,1.02,1.04,0.89
1136,Information technology and telecommunications directors,0.74,0.68,0.59,0.6,0.64
1139,Functional managers and directors n.e.c.,1.04,1.29,1.2,1.29,1.26
1150,Financial institution managers and directors,0.03,0.04,0.04,0.03,0.03
1161,Managers and directors in transport and distribution,0.08,0.06,0.05,0.05,0.05
1162,Managers and directors in storage and warehousing,0.39,0.33,0.28,0.3,0.28
1171,Officers in armed forces,0.05,0.04,0.05,0.11,0.09
1172,Senior police officers,0.01,0.01,0.02,0.02,0.03
1173,"Senior officers in fire, ambulance, prison and related services",0.04,0.03,0.03,0.03,0.03
1181,Health services and public health managers and directors,0.28,0.31,0.29,0.31,0.33
1184,Social services managers and directors,0.07,0.03,0.02,0.02,0.03
1190,Managers and directors in retail and wholesale,1.38,1.45,1.25,1.13,1.12
1211,Managers and proprietors in agriculture and horticulture,0.07,0.06,0.05,0.05,0.07
1213,"Managers and proprietors in forestry, fishing and related services",0.0,0.0,0.0,0.0,0.0
1221,Hotel and accommodation managers and proprietors,0.35,0.24,0.24,0.22,0.23
1223,Restaurant and catering establishment managers and proprietors,0.41,0.51,0.44,0.33,0.39
1225,Leisure and sports managers,0.11,0.11,0.11,0.12,0.13
1226,Travel agency managers and proprietors,0.01,0.0,0.0,0.0,0.0
1241,Health care practice managers,0.14,0.08,0.06,0.04,0.05
1242,"Residential, day and domiciliary  care managers and proprietors",0.33,0.57,0.54,0.53,0.53
1251,"Property, housing and estate managers",0.33,0.49,0.4,0.39,0.42
1252,Garage managers and proprietors,0.0,0.01,0.0,0.0,0.0
1254,Shopkeepers and proprietors – wholesale and retail,0.01,0.03,0.05,0.04,0.04
1255,Waste disposal and environmental services managers,0.02,0.02,0.02,0.02,0.02
1259,Managers and proprietors in other services n.e.c.,0.85,1.12,1.28,1.36,1.42
2111,Chemical scientists,0.04,0.04,0.07,0.11,0.12
2112,Biological scientists and biochemists,0.13,0.12,0.1,0.08,0.08
2113,Physical scientists,0.06,0.05,0.05,0.05,0.05
2114,Social and humanities scientists,0.07,0.02,0.02,0.01,0.01
2119,Natural and social science professionals n.e.c.,0.29,0.29,0.27,0.28,0.27
2121,Civil engineers,0.48,0.56,0.52,0.45,0.51
2122,Mechanical engineers,0.65,0.58,0.6,0.54,0.57
2123,Electrical engineers,0.53,0.52,0.45,0.38,0.53
2124,Electronics engineers,0.25,0.2,0.23,0.22,0.21
2126,Design and development engineers,0.08,0.05,0.04,0.03,0.04
2127,Production and process engineers,0.3,0.3,0.28,0.29,0.31
2129,Engineering professionals n.e.c.,1.19,1.18,1.21,1.2,1.29
2133,It specialist managers,0.49,0.5,0.46,0.39,0.4
2134,It project and programme managers,0.35,0.27,0.2,0.18,0.18
2135,"It business analysts, architects and systems designers",1.97,2.15,2.03,2.09,2.11
2136,Programmers and software development professionals,2.06,2.07,1.82,1.89,1.89
2137,Web design and development professionals,0.53,0.72,0.73,0.82,0.77
2139,Information technology and telecommunications professionals n.e.c.,1.56,1.15,1.11,1.18,1.12
2141,Conservation professionals,0.0,0.0,0.01,0.01,0.01
2142,Environment professionals,0.1,0.07,0.08,0.1,0.09
2150,Research and development managers,0.47,0.57,0.57,0.57,0.53
2211,Medical practitioners,0.66,0.9,0.88,1.02,1.15
2212,Psychologists,0.08,0.1,0.13,0.16,0.18
2213,Pharmacists,0.11,0.1,0.1,0.13,0.18
2214,Ophthalmic opticians,0.06,0.08,0.12,0.12,0.12
2215,Dental practitioners,0.08,0.15,0.15,0.13,0.15
2216,Veterinarians,0.03,0.08,0.11,0.12,0.1
2217,Medical radiographers,0.0,0.0,0.0,0.0,0.0
2219,Health professionals n.e.c.,0.11,0.1,0.14,0.16,0.15
2221,Physiotherapists,0.19,0.2,0.16,0.18,0.2
2222,Occupational therapists,0.15,0.19,0.19,0.21,0.23
2223,Speech and language therapists,0.1,0.08,0.11,0.1,0.12
2229,Therapy professionals n.e.c.,0.07,0.05,0.04,0.04,0.04
2231,Nurses,3.87,3.86,3.59,3.23,3.17
2232,Midwives,0.02,0.02,0.01,0.01,0.01
2311,Higher education teaching professionals,0.52,0.61,0.61,0.61,0.75
2312,Further education teaching professionals,0.24,0.2,0.19,0.17,0.19
2314,Secondary education teaching professionals,2.23,1.84,1.77,1.72,1.84
2315,Primary and nursery education teaching professionals,0.97,1.66,1.47,1.33,1.41
2316,Special needs education teaching professionals,0.11,0.19,0.2,0.2,0.23
2317,Senior professionals of educational establishments,0.06,0.15,0.13,0.13,0.12
2318,Education advisers and school inspectors,0.06,0.05,0.05,0.05,0.05
2319,Teaching and other educational professionals n.e.c.,0.28,0.23,0.24,0.29,0.32
2412,Barristers and judges,0.31,0.37,0.41,0.51,0.55
2419,Legal professionals n.e.c.,0.91,1.19,1.15,1.15,1.26
2421,Chartered and certified accountants,1.06,1.29,1.51,1.61,1.49
2423,Management consultants and business analysts,1.41,1.31,1.21,1.21,1.11
2424,Business and financial project management professionals,1.79,1.65,1.6,1.56,1.47
2425,"Actuaries, economists and statisticians",0.09,0.15,0.16,0.14,0.12
2426,Business and related research professionals,0.04,0.02,0.04,0.07,0.06
2429,"Business, research and administrative professionals n.e.c.",0.17,0.14,0.17,0.19,0.21
2431,Architects,0.46,0.37,0.31,0.27,0.22
2432,Town planning officers,0.05,0.04,0.03,0.04,0.05
2434,Chartered surveyors,0.55,0.1,0.09,0.08,0.08
2436,Construction project managers and related professionals,0.27,0.23,0.22,0.19,0.18
2442,Social workers,0.6,0.58,0.7,0.71,0.69
2443,Probation officers,0.03,0.01,0.01,0.01,0.02
2444,Clergy,0.01,0.01,0.03,0.02,0.02
2449,Welfare professionals n.e.c.,0.01,0.01,0.01,0.01,0.01
2451,Librarians,0.01,0.01,0.01,0.01,0.01
2452,Archivists and curators,0.05,0.02,0.01,0.02,0.02
2461,Quality control and planning engineers,0.28,0.27,0.15,0.1,0.1
2462,Quality assurance and regulatory professionals,0.69,0.73,0.75,0.7,0.65
2463,Environmental health professionals,0.1,0.17,0.15,0.14,0.13
