SOC 2010 (unit groups),Occupation,2015 (%),2016 (%),2017 (%),2018 (%),2019 (%)
2471,"Journalists, newspaper and periodical editors",0.04,0.04,0.05,0.06,0.07
2472,Public relations professionals,0.3,0.16,0.15,0.16,0.17
2473,Advertising accounts managers and creative directors,0.09,0.12,0.14,0.16,0.14
3111,Laboratory technicians,0.13,0.09,0.09,0.09,0.09
3112,Electrical and electronics technicians,0.05,0.05,0.05,0.07,0.07
3113,Engineering technicians,0.19,0.18,0.19,0.18,0.1
3114,Building and civil engineering technicians,0.02,0.02,0.02,0.01,0.02
3115,Quality assurance technicians,0.0,0.0,0.07,0.12,0.1
3116,"Planning, process and production technicians",0.67,1.01,0.9,0.79,0.79
3119,"Science, engineering and production technicians n.e.c.",1.35,1.33,1.31,1.35,1.28
3121,Architectural and town planning technicians,0.06,0.02,0.02,0.01,0.01
3122,Draughtspersons,0.17,0.16,0.18,0.16,0.3
3131,It operations technicians,0.03,0.06,0.06,0.06,0.07
3132,It user support technicians,1.02,0.98,0.98,0.99,1.04
3213,Paramedics,0.04,0.02,0.02,0.03,0.03
3216,Dispensing opticians,0.04,0.06,0.07,0.08,0.08
3217,Pharmaceutical technicians,0.0,0.0,0.0,0.0,0.0
3218,Medical and dental technicians,0.15,0.14,0.14,0.12,0.11
3219,Health associate professionals n.e.c.,0.01,0.01,0.01,0.01,0.01
3231,Youth and community workers,0.0,0.0,0.0,0.0,0.0
3234,Housing officers,0.0,0.0,0.01,0.02,0.01
3235,Counsellors,0.05,0.05,0.05,0.07,0.06
3239,Welfare and housing associate professionals n.e.c.,0.01,0.0,0.0,0.0,0.01
3311,Ncos and other ranks,0.0,0.01,0.01,0.01,0.01
3312,Police officers (sergeant and below),0.07,0.07,0.06,0.06,0.07
3313,Fire service officers (watch manager and below),0.01,0.01,0.0,0.01,0.01
3314,Prison service officers (below principal officer),0.03,0.02,0.03,0.03,0.02
3315,Police community support officers,0.0,0.0,0.0,0.0,0.0
3319,Protective service associate professionals n.e.c.,0.08,0.07,0.09,0.14,0.1
3411,Artists,0.22,0.11,0.08,0.08,0.08
3412,"Authors, writers and translators",0.13,0.11,0.11,0.13,0.09
3413,"Actors, entertainers and presenters",0.03,0.02,0.02,0.04,0.03
3414,Dancers and choreographers,0.0,0.0,0.0,0.0,0.01
3415,Musicians,0.02,0.02,0.01,0.01,0.01
3416,"Arts officers, producers and directors",0.16,0.18,0.16,0.15,0.13
3417,"Photographers, audio-visual and broadcasting equipment operators",0.07,0.08,0.08,0.08,0.08
3421,Graphic designers,0.14,0.13,0.14,0.14,0.12
3422,"Product, clothing and related designers",0.49,0.57,0.51,0.48,0.39
3441,Sports players,0.02,0.0,0.0,0.01,0.01
3442,"Sports coaches, instructors and officials",0.35,0.38,0.31,0.35,0.43
3443,Fitness instructors,0.0,0.0,0.0,0.0,0.0
3511,Air traffic controllers,0.0,0.0,0.0,0.0,0.01
3512,Aircraft pilots and flight engineers,0.06,0.01,0.01,0.01,0.01
3513,Ship and hovercraft officers,0.02,0.02,0.01,0.02,0.03
3520,Legal associate professionals,0.44,0.44,0.49,0.66,0.56
3531,"Estimators, valuers and assessors",0.4,0.51,0.55,0.54,0.54
3532,Brokers,0.08,0.08,0.08,0.09,0.06
3533,Insurance underwriters,0.08,0.07,0.08,0.09,0.1
3534,Finance and investment analysts and advisers,1.13,1.07,1.3,1.31,1.08
3535,Taxation experts,0.01,0.04,0.05,0.05,0.09
3536,Importers and exporters,0.08,0.08,0.08,0.05,0.06
3537,Financial and accounting technicians,0.9,0.81,0.84,0.79,0.79
3538,Financial accounts managers,0.63,0.62,0.68,0.75,0.69
3539,Business and related associate professionals n.e.c.,0.18,0.21,0.2,0.18,0.15
3541,Buyers and procurement officers,0.98,0.93,0.99,0.96,0.86
3542,Business sales executives,0.4,0.43,0.47,0.5,0.45
3543,Marketing associate professionals,1.08,1.13,1.21,1.05,1.03
3544,Estate agents and auctioneers,0.38,0.43,0.4,0.38,0.34
3545,Sales accounts and business development managers,4.26,4.44,4.08,3.56,3.52
3546,Conference and exhibition managers and organisers,0.19,0.22,0.21,0.24,0.22
3550,Conservation and environmental associate professionals,0.0,0.0,0.0,0.0,0.0
3561,Public services associate professionals,0.0,0.0,0.0,0.0,0.0
3562,Human resources and industrial relations officers,1.91,1.69,1.43,1.4,1.28
3563,Vocational and industrial trainers and instructors,0.12,0.18,0.16,0.13,0.16
3564,Careers advisers and vocational guidance specialists,0.05,0.04,0.05,0.05,0.05
3565,Inspectors of standards and regulations,0.06,0.07,0.07,0.08,0.08
3567,Health and safety officers,0.3,0.31,0.31,0.3,0.36
4112,National government administrative occupations,0.04,0.03,0.02,0.02,0.02
4113,Local government administrative occupations,0.01,0.01,0.01,0.01,0.02
4114,Officers of non-governmental organisations,0.02,0.02,0.02,0.02,0.02
4121,Credit controllers,0.08,0.07,0.05,0.07,0.06
4122,"Book-keepers, payroll managers and wages clerks",0.63,0.16,0.21,0.25,0.24
4123,Bank and post office clerks,0.01,0.04,0.05,0.06,0.04
4124,Finance officers,0.53,0.64,0.67,0.82,0.78
4129,Financial administrative occupations n.e.c.,0.64,0.67,0.73,0.78,0.7
4131,Records clerks and assistants,0.11,0.1,0.1,0.1,0.1
4132,Pensions and insurance clerks and assistants,0.05,0.07,0.08,0.08,0.07
4133,Stock control clerks and assistants,0.85,0.78,0.9,1.04,0.95
4134,Transport and distribution clerks and assistants,0.45,0.34,0.32,0.32,0.28
4135,Library clerks and assistants,0.03,0.02,0.02,0.02,0.02
4138,Human resources administrative occupations,0.77,0.78,0.78,0.79,0.66
4159,Other administrative occupations n.e.c.,2.1,1.84,1.75,1.72,1.67
4161,Office managers,0.45,0.95,0.95,0.98,0.96
4211,Medical secretaries,0.1,0.16,0.14,0.15,0.15
4212,Legal secretaries,0.22,0.2,0.2,0.19,0.18
4213,School secretaries,0.02,0.03,0.04,0.04,0.04
4214,Company secretaries,0.04,0.03,0.03,0.03,0.02
4215,Personal assistants and other secretaries,0.77,0.74,0.7,0.72,0.62
4216,Receptionists,0.63,0.65,0.64,0.67,0.67
4217,Typists and related keyboard occupations,0.08,0.09,0.09,0.09,0.07
5111,Farmers,0.05,0.04,0.04,0.03,0.03
5112,Horticultural trades,0.02,0.02,0.02,0.03,0.03
5113,Gardeners and landscape gardeners,0.01,0.01,0.01,0.01,0.01
5114,Groundsmen and greenkeepers,0.05,0.08,0.12,0.13,0.16
5119,Agricultural and fishing trades n.e.c.,0.01,0.01,0.01,0.02,0.01
5211,Smiths and forge workers,0.0,0.0,0.0,0.0,0.0
5212,"Moulders, core makers and die casters",0.01,0.01,0.02,0.01,0.01
5213,Sheet metal workers,0.02,0.01,0.03,0.02,0.02
5214,"Metal plate workers, and riveters",0.0,0.0,0.0,0.0,0.0
5215,Welding trades,0.19,0.14,0.17,0.18,0.19
5216,Pipe fitters,0.02,0.04,0.04,0.03,0.03
5221,Metal machining setters and setter-operators,0.0,-0.0,-0.0,0.0,0.0
5222,"Tool makers, tool fitters and markers-out",0.04,0.03,0.03,0.03,0.03
5223,Metal working production and maintenance fitters,0.07,0.13,0.13,0.14,0.28
5224,Precision instrument makers and repairers,0.01,0.0,0.0,0.01,0.0
5225,Air-conditioning and refrigeration engineers,0.06,0.08,0.07,0.06,0.07
5231,"Vehicle technicians, mechanics and electricians",0.61,0.7,0.75,0.84,0.86
5232,Vehicle body builders and repairers ,0.0,0.0,0.0,0.04,0.05
5234,Vehicle paint technicians,0.04,0.03,0.03,0.03,0.03
5235,Aircraft maintenance and related trades,0.01,0.01,0.01,0.01,0.02
5236,Boat and ship builders and repairers,0.01,0.01,0.01,0.01,0.01
5237,Rail and rolling stock builders and repairers,0.0,0.0,0.0,0.0,0.01
5241,Electricians and electrical fitters,0.47,0.61,0.73,0.65,0.53
5242,Telecommunications engineers,0.03,0.02,0.01,0.01,0.01
5244,"Tv, video and audio engineers",0.0,0.0,0.0,0.0,0.0
5245,It engineers,0.11,0.06,0.05,0.07,0.08
5249,Electrical and electronic trades n.e.c.,0.04,0.02,0.02,0.01,0.01
5250,"Skilled metal, electrical and electronic trades supervisors",0.29,0.28,0.28,0.3,0.29
5311,Steel erectors,0.0,0.0,0.0,0.0,0.0
5312,Bricklayers and masons,0.07,0.06,0.09,0.07,0.06
5313,"Roofers, roof tilers and slaters",0.01,0.01,0.01,0.01,0.02
5314,Plumbers and heating and ventilating engineers,0.3,0.33,0.35,0.32,0.29
5315,Carpenters and joiners,0.25,0.19,0.23,0.19,0.21
5316,"Glaziers, window fabricators and fitters",0.0,0.01,0.02,0.03,0.02
5319,Construction and building trades n.e.c.,0.2,0.14,0.17,0.14,0.16
5321,Plasterers,0.03,0.03,0.03,0.03,0.03
5322,Floorers and wall tilers,0.02,0.01,0.02,0.01,0.02
5323,Painters and decorators,0.18,0.12,0.13,0.13,0.15
5330,Construction and building trades supervisors,0.22,0.19,0.19,0.16,0.19
5411,Weavers and knitters,0.0,0.0,0.0,0.0,0.0
5412,Upholsterers,0.01,0.01,0.01,0.01,0.01
5413,Footwear and leather working trades,0.01,0.0,0.0,0.01,0.01
5414,Tailors and dressmakers,0.01,0.01,0.01,0.01,0.01
5419,"Textiles, garments and related trades n.e.c.",0.0,0.0,0.0,0.0,0.0
5421,Pre-press technicians,0.01,0.01,0.01,0.01,0.01
5422,Printers,0.03,0.01,0.01,0.01,0.01
5423,Print finishing and binding workers,0.01,0.01,0.01,0.01,0.01
5431,Butchers,0.02,0.01,0.02,0.02,0.02
5432,Bakers and flour confectioners,0.1,0.1,0.12,0.09,0.11
5433,Fishmongers and poultry dressers,0.0,0.0,0.01,0.01,0.01
5434,Chefs,1.73,1.72,1.58,1.48,1.95
5435,Cooks,0.49,0.57,0.6,0.4,0.37
5436,Catering and bar managers,0.22,0.22,0.21,0.19,0.21
5441,"Glass and ceramics makers, decorators and finishers",0.0,0.0,0.0,0.0,0.0
5442,Furniture makers and other craft woodworkers,0.01,0.01,0.01,0.01,0.01
5443,Florists,0.01,0.01,0.01,0.01,0.01
5449,Other skilled trades n.e.c.,0.01,0.01,0.01,0.01,0.01
6122,Childminders and related occupations,0.15,0.71,0.81,0.79,0.63
6126,Educational support assistants,0.86,0.88,0.93,1.1,1.41
6131,Veterinary nurses,0.0,0.0,0.0,0.0,0.0
6132,Pest control officers,0.02,0.02,0.02,0.02,0.02
6139,Animal care services occupations n.e.c.,0.13,0.17,0.1,0.08,0.06
6141,Nursing auxiliaries and assistants,1.54,2.04,2.05,2.18,2.7
6142,Ambulance staff (excluding paramedics),0.0,0.0,0.0,0.0,0.0
6143,Dental nurses,0.09,0.11,0.09,0.09,0.09
6145,Care workers and home carers,0.39,0.45,0.46,0.41,0.44
6146,Senior care workers,0.01,0.0,0.0,0.01,0.01
6148,"Undertakers, mortuary and crematorium assistants",0.01,0.01,0.02,0.02,0.02
6211,Sports and leisure assistants,0.04,0.08,0.08,0.1,0.13
6212,Travel agents,0.19,0.22,0.27,0.3,0.4
6214,Air travel assistants,0.02,0.02,0.01,0.01,0.02
6215,Rail travel assistants,0.02,0.0,0.0,0.0,0.0
6219,Leisure and travel service occupations n.e.c.,0.01,0.02,0.02,0.02,0.03
6221,Hairdressers and barbers,0.06,0.08,0.07,0.08,0.04
6222,Beauticians and related occupations,0.16,0.23,0.3,0.24,0.2
6231,Housekeepers and related occupations,0.26,0.28,0.56,0.72,0.63
6232,Caretakers,0.11,0.15,0.19,0.17,0.15
6240,Cleaning and housekeeping managers and supervisors,0.14,0.14,0.19,0.21,0.23
7111,Sales and retail assistants,2.33,2.15,2.15,2.01,1.95
7112,Retail cashiers and check-out operators,0.13,0.08,0.05,0.06,0.08
7113,Telephone salespersons,0.1,0.08,0.05,0.02,0.02
7114,Pharmacy and other dispensing assistants,0.06,0.09,0.1,0.14,0.15
7115,Vehicle and parts salespersons and advisers,0.14,0.37,0.32,0.27,0.32
7121,Collector salespersons and credit agents,0.02,0.01,0.01,0.01,0.0
7122,"Debt, rent and other cash collectors",0.03,0.06,0.05,0.05,0.05
7123,Roundspersons and van salespersons,0.0,0.01,0.02,0.03,0.04
7124,Market and street traders and assistants,0.0,0.0,0.0,0.0,0.0
7125,Merchandisers and window dressers,0.06,0.06,0.06,0.05,0.06
7129,Sales related occupations n.e.c.,0.14,0.12,0.11,0.07,0.08
7130,Sales supervisors,0.05,0.03,0.04,0.02,0.03
7211,Call and contact centre occupations,0.46,0.27,0.23,0.18,0.16
7213,Telephonists,0.05,0.04,0.04,0.03,0.03
7214,Communication operators,0.01,0.01,0.01,0.01,0.01
7215,Market research interviewers,0.12,0.07,0.05,0.05,0.09
7219,Customer service occupations n.e.c.,3.8,2.73,2.55,2.86,2.6
7220,Customer service managers and supervisors,1.05,1.03,1.02,1.01,0.95
8111,"Food, drink and tobacco process operatives",0.0,0.01,0.01,0.01,0.01
8112,Glass and ceramics process operatives,0.0,0.0,0.0,0.0,0.01
8113,Textile process operatives,0.0,0.01,0.01,0.01,0.01
8114,Chemical and related process operatives,0.02,0.02,0.01,0.01,0.02
8115,Rubber process operatives,0.0,0.0,0.0,0.0,0.0
8116,Plastics process operatives,0.01,0.0,0.0,0.0,0.0
8117,Metal making and treating process operatives,0.0,0.0,0.0,0.0,0.0
8118,Electroplaters,0.0,0.0,0.0,0.0,0.0
8119,Process operatives n.e.c.,0.04,0.05,0.05,0.05,0.04
8121,Paper and wood machine operatives,0.01,0.0,0.0,0.0,0.0
8122,Coal mine operatives,0.0,0.02,0.09,0.06,0.08
8123,Quarry workers and related operatives,0.01,0.01,0.01,0.01,0.01
8124,Energy plant operatives,0.03,0.01,0.0,0.0,0.0
8125,Metal working machine operatives,0.36,0.33,0.4,0.44,0.43
8126,Water and sewerage plant operatives,0.01,0.03,0.04,0.02,0.04
8127,Printing machine assistants,0.03,0.02,0.02,0.02,0.02
8129,Plant and machine operatives n.e.c.,0.03,0.01,0.02,0.02,0.02
8131,Assemblers (electrical and electronic products),0.01,0.01,0.02,0.03,0.02
8132,Assemblers (vehicles and metal goods),0.0,0.02,0.02,0.02,0.03
8133,Routine inspectors and testers,0.06,0.03,0.02,0.02,0.02
8134,"Weighers, graders and sorters",0.0,0.0,0.0,0.0,0.0
8135,"Tyre, exhaust and windscreen fitters",0.04,0.02,0.02,0.03,0.03
8137,Sewing machinists,0.01,0.01,0.02,0.02,0.02
8139,Assemblers and routine operatives n.e.c.,0.0,0.0,0.0,0.0,0.0
8141,"Scaffolders, stagers and riggers",0.04,0.02,0.02,0.02,0.02
8142,Road construction operatives,0.01,0.01,0.01,0.01,0.01
8143,Rail construction and maintenance operatives,0.02,0.02,0.02,0.0,0.01
8149,Construction operatives n.e.c.,0.06,0.14,0.15,0.15,0.15
8211,Large goods vehicle drivers,1.39,1.26,1.33,1.7,1.67
8212,Van drivers,0.0,0.0,0.0,0.0,0.0
8213,Bus and coach drivers,0.04,0.04,0.04,0.04,0.05
8214,Taxi and cab drivers and chauffeurs,0.2,0.19,0.17,0.19,0.16
8215,Driving instructors,0.07,0.01,0.02,0.03,0.01
8221,Crane drivers,0.09,0.08,0.1,0.1,0.1
8222,Fork-lift truck drivers,0.22,0.31,0.35,0.4,0.38
8223,Agricultural machinery drivers,0.01,0.01,0.01,0.01,0.01
8229,Mobile machine drivers and operatives n.e.c.,0.19,0.12,0.16,0.15,0.13
8231,Train and tram drivers,0.01,0.01,0.01,0.01,0.01
8232,Marine and waterways transport operatives,0.01,0.01,0.0,0.01,0.01
8233,Air transport operatives,0.02,0.0,0.0,0.0,0.0
8234,Rail transport operatives,0.0,0.0,0.0,0.0,0.0
8239,Other drivers and transport operatives n.e.c.,0.0,0.0,0.0,0.0,0.0
9111,Farm workers,0.02,0.01,0.01,0.02,0.01
9112,Forestry workers,0.0,0.01,0.01,0.01,0.01
9120,Elementary construction occupations,0.04,0.14,0.19,0.17,0.16
9132,Industrial cleaning process occupations,0.03,0.03,0.04,0.04,0.05
9134,"Packers, bottlers, canners and fillers",0.03,0.06,0.07,0.08,0.08
9139,Elementary process plant occupations n.e.c.,0.56,0.57,0.75,0.74,0.73
9211,"Postal workers, mail sorters, messengers and couriers",0.12,0.11,0.13,0.21,0.21
9219,Elementary administration occupations n.e.c.,0.0,0.01,0.01,0.02,0.01
9231,Window cleaners,0.02,0.0,0.01,0.01,0.01
9232,Street cleaners,0.01,0.0,0.0,0.0,0.01
9233,Cleaners and domestics,0.91,0.62,1.1,1.19,1.37
9234,"Launderers, dry cleaners and pressers",0.01,0.02,0.02,0.03,0.03
9235,Refuse and salvage occupations,0.02,0.05,0.09,0.08,0.08
9236,Vehicle valeters and cleaners,0.01,0.01,0.01,0.02,0.03
9241,Security guards and related occupations,0.53,0.46,0.6,0.62,0.65
9242,Parking and civil enforcement occupations,0.01,0.03,0.05,0.03,0.03
9249,Elementary security occupations n.e.c.,0.0,0.0,0.0,0.0,0.0
9251,Shelf fillers,0.0,0.0,0.01,0.01,0.01
9259,Elementary sales occupations n.e.c.,0.0,0.0,0.0,0.0,0.0
9260,Elementary storage occupations,0.08,0.11,0.14,0.15,0.15
9271,Hospital porters,0.0,0.0,0.0,0.0,0.0
9272,Kitchen and catering assistants,0.4,0.41,0.61,0.65,0.75
9273,Waiters and waitresses,0.94,0.83,0.89,0.87,0.98
9274,Bar staff,0.3,0.29,0.41,0.39,0.46
9275,Leisure and theme park attendants,0.0,0.0,0.0,0.0,0.0
9279,Other elementary services occupations n.e.c.,0.18,0.21,0.29,0.32,0.31
