SOC 2010 (major groups),Occupation,2015 (%),2016 (%),2017 (%),2018 (%),2019 (%)
1,"Managers, directors and senior officials",14.63,14.85,13.58,13.13,12.51
2,Professional occupations,30.94,31.22,30.3,30.11,30.66
3,Associate professional and technical occupations,19.59,19.8,19.54,19.07,18.28
4,Administrative and secretarial occupations,8.64,8.4,8.46,8.97,8.34
5,Skilled trades occupations,6.15,6.13,6.42,6.02,6.67
6,"Caring, leisure and other service occupations",4.21,5.6,6.19,6.55,7.21
7,Sales and customer service occupations,8.54,7.22,6.89,6.89,6.63
8,"Process, plant and machine operatives",3.08,2.83,3.18,3.61,3.56
9,Elementary occupations,4.23,3.96,5.45,5.66,6.13
