TTWA name,2015 (normalised stock),2016 (normalised stock),2017 (normalised stock),2018 (normalised stock),2019 (normalised stock)
Portsmouth,1.56,1.48,1.59,1.69,1.77
Preston,1.51,1.41,1.5,1.64,1.82
Reading,3.02,2.76,2.91,2.92,2.99
Redruth and Truro,1.44,1.56,1.61,1.86,1.95
Salisbury,1.82,1.84,2.37,2.19,2.49
Scarborough,1.06,1.07,1.38,1.93,1.84
Scunthorpe,0.95,0.8,1.07,1.09,1.1
Sheffield,1.5,1.59,1.7,1.72,1.78
Shrewsbury,1.49,1.63,1.96,2.02,2.01
Skegness and Louth,1.32,0.99,1.16,1.58,1.67
Slough and Heathrow,1.98,2.04,2.12,2.27,2.4
Southampton,2.66,2.53,2.63,2.74,2.76
Southend,0.97,1.0,1.24,1.26,1.32
St Austell and Newquay,1.29,1.12,1.27,1.28,1.35
Stafford,1.9,1.66,2.18,3.28,2.26
Stevenage and Welwyn Garden City,2.08,1.98,2.36,2.5,2.6
Stoke-on-Trent,1.11,1.08,1.33,1.5,1.5
Sunderland,0.99,0.95,0.93,1.02,0.91
Swindon,2.5,2.16,2.75,3.32,3.03
Taunton,2.13,2.01,2.32,2.46,2.6
Telford,1.63,1.61,2.02,2.2,2.08
Torquay and Paignton,1.26,1.0,1.05,1.12,1.23
Trowbridge,1.82,1.61,2.0,1.95,2.43
Tunbridge Wells,2.28,2.48,2.53,2.64,2.4
Wakefield and Castleford,1.55,1.26,1.44,1.57,1.62
Warrington and Wigan,1.54,1.35,1.55,1.66,1.66
Weston-super-Mare,1.1,1.05,1.13,1.19,1.38
Wisbech,1.01,1.09,0.92,0.95,0.92
Wolverhampton and Walsall,1.39,1.31,1.61,1.78,1.58
Worcester and Kidderminster,1.75,1.77,2.12,2.34,2.25
Worksop and Retford,1.29,1.09,1.24,1.39,1.27
Worthing,1.19,1.18,1.63,1.77,1.74
Yeovil,1.38,1.31,2.08,1.87,1.98
York,2.64,2.5,2.71,2.98,2.91
Cinderford and Ross-on-Wye,0.7,0.51,0.78,0.65,0.66
Carlisle,1.18,1.26,1.25,1.45,1.36
Chester,2.04,1.85,2.56,2.65,2.47
Newport,1.27,1.24,1.48,1.64,1.71
Ballymena,0.29,0.35,0.41,0.45,0.38
Belfast,1.1,1.34,1.45,1.59,1.67
Coleraine,0.19,0.37,0.46,0.53,0.55
Craigavon,0.52,0.79,1.02,0.97,0.94
Derry,0.44,0.65,0.76,0.87,0.86
Newry and Banbridge,0.33,0.49,0.55,0.58,0.66
Omagh and Strabane,0.23,0.4,0.52,0.55,0.57
Aberdeen,1.36,0.93,1.18,1.39,1.59
Ayr,0.62,0.59,0.72,0.81,0.82
Dumfries,1.17,0.99,1.96,1.15,0.97
Dundee,1.03,0.8,0.98,1.0,1.04
Dunfermline and Kirkcaldy,0.81,0.53,0.73,0.79,0.8
Edinburgh,2.08,1.91,2.04,2.15,2.36
Elgin,0.71,0.66,0.82,0.9,0.88
Falkirk and Stirling,1.11,0.86,1.02,1.13,1.16
Glasgow,1.29,1.1,1.32,1.38,1.39
Inverness,1.15,1.12,1.35,1.33,1.27
Kilmarnock and Irvine,0.7,0.47,0.65,0.65,0.68
Livingston,0.95,0.67,0.85,0.93,0.97
Motherwell and Airdrie,0.66,0.51,0.64,0.75,0.8
Perth,1.35,0.98,1.19,1.29,1.13
Bridgend,0.14,0.11,0.14,0.18,0.17
Bangor and Holyhead,0.63,0.63,0.74,0.82,0.78
Cardiff,1.46,1.37,1.5,1.55,1.75
Colwyn Bay,1.22,0.99,1.27,1.2,1.35
Llanelli,0.76,0.7,0.89,0.92,0.95
Merthyr Tydfil,0.66,0.58,0.78,0.72,0.81
Rhyl,1.04,0.76,1.12,1.08,1.08
Swansea,1.03,0.8,0.98,1.01,0.98
Wrexham,1.18,1.14,1.65,1.54,1.52
