TTWA name,2015 (normalised stock),2016 (normalised stock),2017 (normalised stock),2018 (normalised stock),2019 (normalised stock)
Barnsley,0.8,0.76,0.88,0.84,0.86
Bradford,1.26,1.19,1.33,1.45,1.41
Halifax,1.2,0.99,1.09,1.16,1.22
Dorchester and Weymouth,1.55,1.75,2.77,2.03,2.18
Grantham,1.65,1.54,1.99,1.48,1.66
Hastings,1.05,1.01,1.2,1.07,1.13
Isle of Wight,0.35,0.43,0.53,0.74,0.74
Lancaster and Morecambe,1.61,1.14,1.27,1.59,1.52
Middlesbrough and Stockton,0.91,0.8,1.03,1.05,1.14
Peterborough,2.01,2.13,2.44,2.4,2.39
Poole,1.64,1.62,2.16,2.19,2.17
Spalding,0.92,0.94,1.14,1.12,1.07
Thetford and Mildenhall,0.8,0.83,1.21,1.1,1.38
Andover,1.88,1.52,1.71,2.07,2.11
Ashford,1.9,2.17,2.58,2.17,2.19
Banbury,1.93,1.85,2.2,2.12,2.22
Barnstaple,0.92,0.98,1.04,1.03,1.22
Barrow-in-Furness,0.62,0.41,0.64,0.76,0.85
Basingstoke,2.5,2.38,2.72,2.77,2.82
Bath,2.32,2.21,2.56,2.45,2.37
Bedford,1.78,1.8,2.0,1.92,1.91
Birkenhead,0.45,0.41,0.49,0.52,0.52
Birmingham,2.54,2.6,2.9,2.88,3.01
Blackburn,1.18,1.06,1.23,1.31,1.29
Blackpool,1.04,0.97,1.1,1.23,1.16
Blyth and Ashington,0.66,0.55,0.72,0.82,0.77
Bournemouth,2.0,1.87,1.95,1.94,1.87
Bridgwater,1.21,1.14,1.76,1.64,1.53
Brighton,1.92,1.82,2.08,2.29,2.23
Bristol,2.81,3.06,3.4,3.52,3.61
Burnley,1.08,0.96,1.32,1.43,1.57
Burton upon Trent,1.41,1.13,1.47,1.83,1.55
Bury St Edmunds,1.68,1.73,2.09,2.14,2.43
Cambridge,2.75,2.86,3.51,3.41,3.48
Canterbury,1.46,1.58,1.49,1.56,1.65
Chelmsford,1.78,1.8,1.87,2.0,1.99
Cheltenham,2.41,2.8,3.77,3.43,3.3
Chesterfield,1.22,1.18,1.62,1.61,1.73
Chichester and Bognor Regis,1.29,1.41,1.7,1.89,2.12
Clacton,0.63,0.57,0.76,0.71,0.87
Colchester,1.97,2.0,2.02,1.88,1.99
Coventry,2.29,2.11,2.44,2.5,2.29
Crawley,2.49,2.32,2.84,3.11,2.83
Crewe,2.13,2.33,2.55,2.21,2.29
Darlington,1.47,1.31,1.55,1.79,1.7
Derby,1.9,1.89,2.12,2.21,1.98
Doncaster,1.5,1.33,1.49,1.57,1.55
Dudley,1.21,1.12,1.4,2.16,1.55
Durham and Bishop Auckland,2.56,1.91,1.83,1.98,1.95
Eastbourne,1.26,1.19,1.47,1.62,1.73
Evesham,1.36,1.03,1.6,1.4,1.48
Exeter,1.86,1.9,1.92,2.15,2.2
Folkestone and Dover,0.92,1.03,1.16,1.26,1.16
Gloucester,1.97,2.07,2.81,2.74,2.72
Great Yarmouth,0.79,0.59,0.92,1.13,0.95
Grimsby,1.05,0.92,1.12,1.05,1.08
Guildford and Aldershot,2.65,2.56,2.97,3.03,2.95
Harrogate,2.27,2.11,2.36,2.6,2.61
Hartlepool,0.79,0.62,0.74,0.77,0.78
Hereford,1.6,2.13,2.46,2.26,2.13
High Wycombe and Aylesbury,2.08,1.94,2.28,2.5,2.41
Huddersfield,1.08,0.96,1.04,1.12,1.19
Hull,1.09,1.14,1.23,1.25,1.29
Huntingdon,1.56,1.61,2.08,2.04,2.1
Ipswich,1.59,1.47,1.68,1.68,1.83
Kettering and Wellingborough,1.44,1.33,1.5,1.64,1.72
King's Lynn,1.23,1.22,1.54,1.5,1.48
Leamington Spa,2.22,2.4,3.12,3.69,2.66
Leeds,2.59,2.72,2.95,3.28,3.48
Leicester,1.63,1.57,1.7,1.86,1.8
Lincoln,1.47,1.54,1.91,1.9,1.8
Liverpool,1.62,1.44,1.64,1.68,1.78
London,3.48,3.43,3.69,3.85,3.85
Lowestoft,0.72,0.68,1.82,1.07,1.15
Luton,2.44,2.47,2.43,2.52,2.39
Manchester,2.3,2.23,2.41,2.58,2.68
Mansfield,1.13,1.13,1.47,1.57,1.58
Margate and Ramsgate,0.85,0.72,0.77,0.84,0.93
Medway,1.48,1.56,1.84,1.88,1.81
Milton Keynes,2.93,3.22,3.39,3.77,3.57
Newbury,2.42,2.35,2.38,2.8,2.57
Newcastle,1.23,1.16,1.37,1.4,1.39
Northallerton,1.29,1.0,1.74,1.76,1.78
Northampton,2.51,2.54,2.94,2.55,2.5
Norwich,1.52,1.4,1.84,1.67,1.59
Nottingham,1.69,1.71,1.92,2.02,1.97
Oxford,2.58,2.6,3.06,3.46,3.28
Plymouth,1.22,1.31,1.37,1.38,1.53
